Id,Class
sample_664,1
sample_215,0
sample_343,4
sample_707,1
sample_621,4
sample_693,0
sample_180,1
sample_739,0
sample_248,1
sample_91,1
sample_256,2
sample_31,4
sample_579,2
sample_560,1
sample_523,1
sample_542,2
sample_587,2
sample_260,1
sample_484,4
sample_556,4
sample_110,4
sample_694,1
sample_62,0
sample_532,1
sample_330,4
sample_25,2
sample_124,0
sample_751,3
sample_109,0
sample_709,0
sample_611,4
sample_188,2
sample_735,0
sample_113,2
sample_192,2
sample_143,2
sample_691,2
sample_385,2
sample_502,4
sample_668,2
sample_378,0
sample_216,2
sample_733,2
sample_230,2
sample_500,1
sample_218,2
sample_128,4
sample_156,4
sample_144,1
sample_117,2
sample_631,4
sample_77,1
sample_520,2
sample_662,2
sample_152,0
sample_517,2
sample_622,1
sample_315,1
sample_392,2
sample_538,4
sample_451,2
sample_659,4
sample_422,1
sample_131,1
sample_198,3
sample_302,2
sample_93,1
sample_361,0
sample_774,0
sample_223,2
sample_437,0
sample_692,2
sample_568,4
sample_728,4
sample_380,4
sample_678,2
sample_206,4
sample_285,3
sample_244,2
sample_146,0
sample_535,3
sample_191,1
sample_288,1
sample_226,4
sample_670,3
sample_283,2
sample_547,4
sample_748,3
sample_328,4
sample_334,2
sample_88,2
sample_186,1
sample_681,2
sample_445,2
sample_358,1
sample_717,2
sample_577,0
sample_291,2
sample_350,2
sample_242,2
sample_98,0
sample_420,2
sample_356,4
sample_250,2
sample_24,4
sample_632,2
sample_498,0
sample_322,3
sample_293,2
sample_590,2
sample_359,1
sample_305,2
sample_429,1
sample_387,3
sample_366,3
sample_603,4
sample_158,0
sample_13,3
sample_416,0
sample_460,0
sample_297,0
sample_447,2
sample_21,3
sample_46,4
sample_150,2
sample_325,2
sample_194,4
sample_639,2
sample_497,2
sample_164,0
sample_362,2
sample_494,3
sample_669,2
sample_43,4
sample_431,3
sample_316,0
sample_638,1
sample_153,2
sample_145,2
sample_526,1
sample_626,2
sample_30,3
sample_767,3
sample_266,0
sample_225,2
sample_23,0
sample_736,2
sample_296,2
sample_254,2
sample_148,0
